iyear,region,region_txt,city,crit1,crit2,crit3,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,nkill,nwound
2006,6,South Asia,Nawa-i-Barakzayi district,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,1.0,0.0
2006,6,South Asia,Nadir Shah Kot district,1,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,0.0,0.0
2006,6,South Asia,Farah,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,1.0,2.0
2006,6,South Asia,Khash Rod district,1,1,1,2,Armed Assault,1,Business,5,Firearms,0.0,0.0
2006,6,South Asia,Unknown,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,4.0,0.0
2006,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,4.0,5.0
2006,6,South Asia,Andar,1,1,1,1,Assassination,14,Private Citizens & Property,5,Firearms,5.0,0.0
2006,6,South Asia,Musa Qala district,1,1,1,2,Armed Assault,3,Police,5,Firearms,4.0,0.0
2006,6,South Asia,Khwaja Ghar district,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,0.0
2006,6,South Asia,Garmser district,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,1.0,0.0
2006,6,South Asia,Unknown,1,1,1,6,Hostage Taking (Kidnapping),1,Business,5,Firearms,1.0,0.0
2006,6,South Asia,Muqur district,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,3.0
2006,6,South Asia,Herat,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,0.0
2006,6,South Asia,Herat,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,0.0
2006,6,South Asia,Ismail Khel,1,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,0.0,0.0
2006,6,South Asia,Barmal district,1,1,1,2,Armed Assault,14,Private Citizens & Property,5,Firearms,1.0,0.0
2006,6,South Asia,Yosuf Khel district,1,1,1,2,Armed Assault,14,Private Citizens & Property,5,Firearms,1.0,0.0
2006,6,South Asia,Waygal district,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,0.0,3.0
2006,6,South Asia,Unknown,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,5.0,0.0
2006,6,South Asia,Dherdoni,1,1,1,2,Armed Assault,9,Food or Water Supply,5,Firearms,2.0,0.0
2006,6,South Asia,Asadabad,1,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,7.0,34.0
2006,6,South Asia,Alishing,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,0.0
2006,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,0.0
2006,6,South Asia,Zahri district,1,1,1,2,Armed Assault,14,Private Citizens & Property,5,Firearms,1.0,0.0
2006,6,South Asia,Baghran district,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,1.0,2.0
2006,6,South Asia,Hawz Madad,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,1.0,4.0
2006,6,South Asia,Kandahar,1,1,1,7,Facility/Infrastructure Attack,1,Business,5,Firearms,2.0,3.0
